data	parity	throughput
1	1	6151.802958
1	2	3809.409646
1	3	2927.803992
1	4	2416.267245
1	5	2048.079958
1	6	1784.233465
1	7	1509.853716
1	8	1321.797724
1	9	1173.887651
1	10	1068.835951
2	1	8556.246946
2	2	6334.418084
2	3	4842.606161
2	4	4171.123355
2	5	3617.15217
2	6	3198.519795
2	7	2671.112738
2	8	2428.944252
2	9	2200.394146
2	10	2029.181423
3	1	9909.055064
3	2	7827.003975
3	3	6420.629768
3	4	5519.346357
3	5	4833.029633
3	6	4222.187904
3	7	3318.533839
3	8	3130.532168
3	9	2867.162531
3	10	2624.871266
4	1	10860.431678
4	2	8790.133163
4	3	7269.98291
4	4	6557.836557
4	5	5625.922789
4	6	4768.850162
4	7	3733.338419
4	8	3314.465476
4	9	3093.730627
4	10	2798.199901
5	1	11052.898489
5	2	9352.700184
5	3	8251.70155
5	4	6772.79402
5	5	5834.915298
5	6	4911.659058
5	7	3581.249865
5	8	3438.50537
5	9	3218.464325
5	10	2932.25569
6	1	11315.282386
6	2	10043.634485
6	3	8235.223495
6	4	6751.517284
6	5	5689.138418
6	6	4676.592617
6	7	3577.078043
6	8	3404.286548
6	9	3050.242602
6	10	2873.293938
7	1	11668.230103
7	2	9858.071887
7	3	8059.253624
7	4	6495.782643
7	5	5236.762344
7	6	4654.699981
7	7	3821.228659
7	8	3298.862723
7	9	3025.381301
7	10	2639.613159
8	1	11150.543251
8	2	9565.168847
8	3	7668.130636
8	4	6221.60457
8	5	5564.2527
8	6	5259.613335
8	7	3687.296577
8	8	3311.00732
8	9	2913.318647
8	10	2728.024403
9	1	10939.264679
9	2	9193.147749
9	3	7419.102684
9	4	6637.281841
9	5	6162.605234
9	6	5856.927735
9	7	3545.275259
9	8	3157.358826
9	9	3091.630054
9	10	2834.848713
10	1	11002.635689
10	2	8955.179215
10	3	7675.394973
10	4	6989.559777
10	5	6690.371409
10	6	5788.770492
10	7	3599.400945
10	8	3383.082824
10	9	3323.228474
10	10	3324.925808
11	1	10763.304108
11	2	9061.435364
11	3	8164.065857
11	4	7664.15836
11	5	6734.77326
11	6	5510.312365
11	7	3879.945467
11	8	3543.244934
11	9	3400.529266
11	10	3251.768424
12	1	10517.641834
12	2	9395.453772
12	3	8716.731191
12	4	7497.950828
12	5	6411.863091
12	6	5312.986324
12	7	3302.448528
12	8	3411.046397
12	9	3252.849499
12	10	3036.373483
13	1	11016.703837
13	2	10013.032139
13	3	8640.812762
13	4	7014.509609
13	5	6077.282758
13	6	4509.721283
13	7	3417.342933
13	8	3324.266449
13	9	3111.922895
13	10	2850.15497
14	1	11212.886521
14	2	9583.916055
14	3	8204.089753
14	4	6537.907125
14	5	5417.005821
14	6	4539.31201
14	7	3334.929757
14	8	3221.548164
14	9	2858.287461
14	10	2617.304367
15	1	10333.491844
15	2	8908.052027
15	3	7293.547803
15	4	6122.826616
15	5	5314.908268
15	6	4532.743363
15	7	3327.985
15	8	3019.035986
15	9	2809.416541
15	10	2602.68682
16	1	9822.892087
16	2	8419.966528
16	3	7057.973741
16	4	6063.380149
16	5	5249.284391
16	6	4512.236168
16	7	3037.605512
16	8	2961.702352
16	9	2676.313162
16	10	2483.84287
17	1	9607.395906
17	2	7725.292147
17	3	6621.791334
17	4	5688.031378
17	5	4911.212644
17	6	4236.24393
17	7	3027.87188
17	8	2744.219524
17	9	2471.07503
17	10	2369.670919
18	1	9087.026101
18	2	7733.560013
18	3	6373.484831
18	4	5452.674557
18	5	4685.184346
18	6	4154.652166
18	7	2698.14465
18	8	2680.101984
18	9	2390.146038
18	10	2305.126119
19	1	8885.641246
19	2	7533.837666
